city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon,continent
Severouralsk,Russia,60.1565206,59.961549,36138,306.837646484375,33.68764648437502,367470,4274,1951-06-19T09:00:00.000000000,60.14059448242188,60.0,Europe
Yefremov,Russia,53.1491189,38.1215385,45497,306.835693359375,33.68569335937502,558808,39739,1963-08-08T12:00:00.000000000,53.1107177734375,38.109642028808594,Europe
Arvaikheer,Mongolia,46.2499793,102.7665848,28053,306.8351745605469,33.6851745605469,785680,10489,1953-08-04T06:00:00.000000000,46.221439361572266,102.77511596679688,Asia
Beihai,China,21.4804059,109.1000484,728978,306.83233642578125,33.68233642578127,1912158,1401,1950-06-25T06:00:00.000000000,21.546571731567383,109.14110565185548,Asia
Koulamoutou,Gabon,-1.1329166,12.4833101,16222,306.8315734863281,33.68157348632815,3376637,387,1950-02-18T12:00:00.000000000,-1.089630961418152,12.55319118499756,Africa
Uvinza,Tanzania,-5.1195984,30.3900207,80350,306.8270568847656,33.67705688476565,3659818,8083,1952-10-07T12:00:00.000000000,-5.096660614013672,30.445545196533203,Africa
Sydney,Canada,46.0661145,-60.1799807,37538,306.8253479003906,33.67534790039065,792080,7621,1952-08-10T18:00:00.000000000,46.080841064453125,299.90460205078125,North America
Ciudad Cortés,Costa Rica,8.9603691,-83.5300025,3850,306.8204650878906,33.67046508789065,2683130,3605,1951-03-27T18:00:00.000000000,8.892794609069824,276.52850341796875,North America
Jakarta,Indonesia,-6.1724718,106.8274918,9125000,306.81890869140625,33.66890869140627,3747480,52033,1967-10-23T06:00:00.000000000,-6.362038612365723,107.0351791381836,Asia
Orel,Russia,52.9699567,36.0699841,334552,306.8185119628906,33.66851196289065,563033,39731,1963-08-07T12:00:00.000000000,52.970123291015625,36.1016960144043,Europe
Heyuan,China,23.7304236,114.6800179,330961,306.8182983398437,33.66829833984377,1789106,22409,1957-09-02T06:00:00.000000000,23.79613304138184,114.73573303222656,Asia
Natara,Russia,68.4106163,123.9255,10,306.81414794921875,33.66414794921877,194453,48306,1966-07-14T09:00:00.000000000,68.36554718017578,123.75,Europe
Sharya,Russia,58.3797557,45.5093562,35532,306.81402587890625,33.66402587890627,413330,13515,1954-08-17T12:00:00.000000000,58.31282806396485,45.4945068359375,Europe
Stralsund,Germany,54.3004181,13.1000166,61368,306.8134155273437,33.66341552734377,525347,19251,1956-08-03T12:00:00.000000000,54.23550033569336,13.1578950881958,Europe
Sri Jayawardenepura Kotte,Sri Lanka,6.9000039,79.949993,115826,306.80487060546875,33.65487060546877,2816579,6146,1952-02-08T09:00:00.000000000,6.854129791259766,79.9915771484375,Asia
Moratuwa,Sri Lanka,6.7803988,79.8800232,200000,306.80487060546875,33.65487060546877,2816579,6146,1952-02-08T09:00:00.000000000,6.854129791259766,79.9915771484375,Asia
Carazinho,Brazil,-28.2900187,-52.8000436,59417,306.8029479980469,33.6529479980469,5045118,645,1950-03-22T18:00:00.000000000,-28.29525375366211,307.1428527832031,South America
Liestal,Switzerland,47.4830011,7.7370035,12832,306.80047607421875,33.65047607421877,740557,16315,1955-08-02T12:00:00.000000000,47.48681640625,7.832512378692627,Europe
Rigolet,Canada,54.1766014,-58.4473216,124,306.7989196777344,33.6489196777344,529046,13429,1954-08-06T18:00:00.000000000,54.16519927978516,301.5175170898437,North America
Mozhga,Russia,56.4547569,52.1843493,47270,306.79766845703125,33.64766845703127,463924,19090,1956-07-14T09:00:00.000000000,56.41476058959961,52.28215789794922,Europe
Ayr,Australia,-19.5702409,147.3994677,9078,306.7965393066406,33.64653930664065,4575283,49784,1967-01-15T03:00:00.000000000,-19.57820701599121,147.34593200683594,Oceania
Bubanza,Burundi,-3.083301,29.3667035,12728,306.79510498046875,33.64510498046877,3522444,42771,1964-08-21T12:00:00.000000000,-3.1282951831817627,29.32258033752441,Africa
Ahuachapán,El Salvador,13.919004,-89.8450015,34102,306.7945251464844,33.6445251464844,2359839,3653,1951-04-02T18:00:00.000000000,13.954305648803713,270.0828857421875,North America
Lugano,Switzerland,46.0003821,8.9666772,105388,306.79150390625,33.64150390625002,797606,51476,1967-08-14T15:00:00.000000000,45.86994552612305,8.829113960266113,Europe
Bogor,Indonesia,-6.5680549,106.7480651,918000,306.7897033691406,33.63970336914065,3757023,52033,1967-10-23T06:00:00.000000000,-6.502635955810547,106.83724975585938,Asia
Macau,Macau S.A.R,22.18913523490745,113.54437522184952,568700,306.7879333496094,33.6379333496094,1877165,5225,1951-10-16T06:00:00.000000000,22.179262161254883,113.40557098388672,Asia
Moanda,Congo (Kinshasa),-5.9229085,12.3549975,153915,306.7854919433594,33.6354919433594,3722286,44403,1965-03-13T12:00:00.000000000,-6.010544776916504,12.460383415222168,Africa
Sheffield,United Kingdom,53.3666767,-1.4999966,1292900,306.7820739746094,33.6320739746094,548057,39828,1963-08-19T15:00:00.000000000,53.53251266479492,358.79541015625,Europe
Balboa,Panama,8.9499821,-79.5666527,62882,306.7803039550781,33.63030395507815,2678550,3573,1951-03-23T18:00:00.000000000,8.963092803955078,280.50128173828125,North America
Valera,Venezuela,9.3199595,-70.6200153,191167,306.7720947265625,33.62209472656252,2650961,29645,1960-02-23T18:00:00.000000000,9.384885787963867,289.391845703125,South America
Chagda,Russia,60.1000124,133.8999816,10,306.7716369628906,33.62163696289065,367822,51377,1967-08-02T06:00:00.000000000,60.14059448242188,133.84616088867188,Europe
Gümüşhane,Turkey,40.4640001,39.4839996,32250,306.76959228515625,33.61959228515627,1004215,54419,1968-08-16T12:00:00.000000000,40.456939697265625,39.4781379699707,Asia
La Romana,Dominican Republic,18.4170012,-68.966602,208437,306.7694702148437,33.61947021484377,2090188,48765,1966-09-09T18:00:00.000000000,18.453426361083984,290.9588928222656,North America
Mataram,Indonesia,-8.5795422,116.1350195,499409,306.7694091796875,33.61940917968752,3903054,5352,1951-11-01T03:00:00.000000000,-8.68189811706543,116.12403106689452,Asia
