city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp
Nablus,Palestine,32.2214815,35.2544266,215981,42.37688598632815,48.30306396484377,5.926177978515625,1967-06-24T12:00:00.000000000,2090-05-31T12:00:00.000000000,51067,30427,1363185,1363185,32.23198699951172,35.41162109375,32.23198699951172,35.41162109375
Kabalo,Congo (Kinshasa),-6.0496191,26.9100264,29833,36.36922607421877,42.29482421875002,5.92559814453125,1951-05-29T12:00:00.000000000,2090-06-03T12:00:00.000000000,4107,30451,3722479,3722479,-6.010544776916504,26.94745635986328,-6.010544776916504,26.94745635986328
Nagoya,Japan,35.1569434,136.9130456,3230000,36.45113525390627,42.37630615234377,5.9251708984375,1952-08-06T06:00:00.000000000,2080-08-01T06:00:00.000000000,7585,1705,1222632,1235174,35.325130462646484,136.72634887695312,35.04393768310547,136.71755981445312
Qarshi,Uzbekistan,38.8704297,65.800004,386361,47.81588134765627,53.74050292968752,5.92462158203125,1959-07-22T09:00:00.000000000,2084-07-19T09:00:00.000000000,27914,13290,1073607,1073607,38.76977157592773,65.68894958496094,38.76977157592773,65.68894958496094
Oturkpo,Nigeria,7.1903996,8.1299841,68220,39.1724792480469,45.09673461914065,5.92425537109375,1950-02-18T15:00:00.000000000,2091-03-05T15:00:00.000000000,388,32652,2796679,2796679,7.135324954986572,8.140320777893066,7.135324954986572,8.140320777893066
Bandjarmasin,Indonesia,-3.3299918,114.5800756,603576,35.36651000976565,41.29058227539065,5.924072265625,1950-10-08T06:00:00.000000000,2090-11-02T06:00:00.000000000,2241,31665,3543431,3543431,-3.4094903469085693,114.68446350097656,-3.4094903469085693,114.68446350097656
Kananga,Congo (Kinshasa),-5.8880964,22.3980716,765000,34.76210937500002,40.68520507812502,5.923095703125,1965-08-07T12:00:00.000000000,2090-06-04T12:00:00.000000000,45579,30459,3712814,3712814,-5.8699469566345215,22.33139038085937,-5.8699469566345215,22.33139038085937
Rancagua,Chile,-34.1700215,-70.7399821,233268,35.34380493164065,41.2662292480469,5.92242431640625,1951-01-22T18:00:00.000000000,2091-01-26T21:00:00.000000000,3093,32350,5330269,5330269,-34.27064895629883,289.1969909667969,-34.27064895629883,289.1969909667969
Kingston,Jamaica,17.9770766,-76.7674337,937700,34.65239868164065,40.57427368164065,5.921875,1950-08-15T18:00:00.000000000,2090-08-06T18:00:00.000000000,1813,30965,2118821,2114706,17.961336135864258,283.1195373535156,18.031633377075195,283.1322937011719
Evinayong,Equatorial Guinea,1.4499991,10.5667026,8462,30.475030517578148,36.39571533203127,5.920684814453125,1951-05-07T12:00:00.000000000,2083-03-20T12:00:00.000000000,3931,9395,3187920,3187920,1.5114234685897827,10.54631805419922,1.5114234685897827,10.54631805419922
Baddeck,Canada,46.0999884,-60.7539767,852,35.03511962890627,40.9555603027344,5.920440673828125,1950-07-03T18:00:00.000000000,2089-08-17T18:00:00.000000000,1469,28133,792075,792075,46.080841064453125,299.1891784667969,46.080841064453125,299.1891784667969
Liberia,Costa Rica,10.6337553,-85.433323,45380,37.33342895507815,43.2532897949219,5.91986083984375,1951-04-02T18:00:00.000000000,2091-04-20T18:00:00.000000000,3653,33021,2573063,2573063,10.579964637756348,274.5238037109375,10.579964637756348,274.5238037109375
Sambalpur,India,21.4704065,83.9700577,310852,45.77034912109377,51.68987426757815,5.919525146484375,1951-05-27T09:00:00.000000000,2082-06-10T09:00:00.000000000,4090,7130,1919713,1923634,21.405975341796875,83.84693908691406,21.335676193237305,83.85321044921875
Tiznit,Morocco,29.7104203,-9.7399846,57705,44.73830566406252,50.65679321289065,5.918487548828125,1950-08-01T12:00:00.000000000,2090-07-28T12:00:00.000000000,1699,30891,1487679,1487679,29.701229095458984,350.2900085449219,29.701229095458984,350.2900085449219
Nuevitas,Cuba,21.5456474,-77.2644418,54022,34.15633544921877,40.07442626953127,5.9180908203125,1951-04-02T18:00:00.000000000,2091-04-19T18:00:00.000000000,3653,33013,1917959,1917960,21.476274490356445,282.6864013671875,21.476274490356445,282.7783508300781
Ermoupoli,Greece,37.450413,24.9332995,12260,26.564599609375023,32.48223266601565,5.917633056640625,1951-07-04T18:00:00.000000000,2089-08-07T21:00:00.000000000,4397,28054,1129673,1126668,37.4340934753418,25.01329803466797,37.50439453125,24.9267635345459
Eldoret,Kenya,0.5200057,35.2699812,353381,29.6393981933594,35.55693969726565,5.9175415039062464,1951-03-31T12:00:00.000000000,2090-02-20T12:00:00.000000000,3635,29627,3254259,3259364,0.5975395441055298,35.195926666259766,0.5272407531738281,35.23884201049805
Tây Ninh,Vietnam,11.3229991,106.1469997,126370,37.25969848632815,43.17720947265627,5.917510986328125,1951-05-03T06:00:00.000000000,2091-04-25T06:00:00.000000000,3897,33057,2525789,2530288,11.282952308654783,106.09430694580078,11.212653160095217,106.23999786376952
Semarang,Indonesia,-6.9646716,110.4180736,1396000,37.04555664062502,42.96303710937502,5.91748046875,1967-10-23T06:00:00.000000000,2090-10-29T06:00:00.000000000,52033,31633,3799830,3795095,-7.135324954986572,110.61707305908205,-7.06502628326416,110.59966278076172
Wanzhou,China,30.8199909,108.4000394,1680000,37.48269042968752,43.39968261718752,5.9169921875,1951-07-22T06:00:00.000000000,2080-08-06T09:00:00.000000000,4537,1746,1434104,1423963,30.75571060180664,108.38253021240234,30.96660804748535,108.66114044189452
Voi,Kenya,-3.369576,38.5699865,36487,35.16741333007815,41.08431396484377,5.916900634765625,1951-02-26T12:00:00.000000000,2085-03-11T12:00:00.000000000,3371,15171,3537439,3542386,-3.339191436767578,38.63379287719727,-3.4094903469085693,38.59223175048828
Dolo Bay,Ethiopia,4.183348,42.0833121,11810,38.66683349609377,44.58367309570315,5.916839599609375,1964-04-06T12:00:00.000000000,2083-03-15T12:00:00.000000000,41675,9355,3004234,2999333,4.112477779388428,42.13703155517578,4.182776927947998,42.097957611083984
