city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon
Hofuf,Saudi Arabia,25.3487486,49.5855932,637389,327.8843994140625,54.73439941406252,1702482,36707,2092-07-24T12:00:00.000000000,25.41300392150879,49.72914505004883
Bandar-e-Abbas,Iran,27.2040598,56.2721355,461499,327.86846923828125,54.71846923828127,1611532,7227,2082-06-22T12:00:00.000000000,27.170473098754883,56.12472152709961
Gujranwala,Pakistan,32.1623717,74.1830761,1513000,327.8130798339844,54.6630798339844,1366845,30538,2090-06-14T09:00:00.000000000,32.161685943603516,74.11124420166016
Al Mubarraz,Saudi Arabia,25.4290538,49.5659045,298562,327.7945251464844,54.6445251464844,1702481,36707,2092-07-24T12:00:00.000000000,25.41300392150879,49.63163757324219
Kasur,Pakistan,31.1253727,74.4550313,290643,327.7691650390625,54.61916503906252,1420268,33330,2091-05-29T09:00:00.000000000,31.03690528869629,74.3060531616211
Abohar,India,30.126337570600114,74.18234179634925,130603,327.7242736816406,54.57427368164065,1467849,33330,2091-05-29T09:00:00.000000000,30.052722930908203,74.03733825683594
Al Hasakah,Syria,36.4832886,40.7500085,128100,327.69964599609375,54.54964599609377,1166170,16299,2085-07-30T12:00:00.000000000,36.59050750732422,40.75916290283203
Gorgan,Iran,36.8303475,54.4800232,281023,327.65325927734375,54.50325927734377,1151064,27939,2089-07-24T12:00:00.000000000,36.94200134277344,54.54545593261719
Reggane,Algeria,26.6999839,0.1666459,32974,327.5810241699219,54.4310241699219,1636201,13100,2084-06-25T15:00:00.000000000,26.678382873535156,0.09944751113653183
Zaranj,Afghanistan,31.1120011,61.8869975,49851,327.5653991699219,54.4153991699219,1413419,30859,2090-07-24T12:00:00.000000000,31.17750358581543,61.96194839477539
Al Jubayl,Saudi Arabia,27.0046424,49.646003,237274,327.5521545410156,54.40215454101565,1622256,30802,2090-07-17T09:00:00.000000000,26.959577560424805,49.54494857788086
Koneurgench,Turkmenistan,42.3166535,59.1666621,31400,327.5054626464844,54.3554626464844,929293,36706,2092-07-24T09:00:00.000000000,42.35500717163086,59.252201080322266
Atamyrat,Turkmenistan,37.8248088,65.1997306,33242,327.5047302246094,54.3547302246094,1112040,36722,2092-07-26T09:00:00.000000000,37.85588836669922,65.14745330810547
