city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Chachapoyas,Peru,-6.2296081,-77.870012,25978,5.192809104919434,18.69411277770996,3745027,50061,1967-02-18T18:00:00.000000000,-6.291739940643311,282.2008361816406,South America
Bolzano,Italy,46.5004291,11.3600195,95895,5.184932708740234,18.665757751464845,777543,53523,1968-04-26T12:00:00.000000000,46.43233489990234,11.394230842590332,Europe
Koulamoutou,Gabon,-1.1329166,12.4833101,16222,5.184181213378906,18.663052368164063,3376635,24180,1958-04-11T15:00:00.000000000,-1.089630961418152,12.411347389221191,Africa
Quibdó,Colombia,5.6904136,-76.6600084,92780,5.162097930908203,18.58355255126953,2900574,40653,1963-11-30T18:00:00.000000000,5.659050941467285,283.3056335449219,South America
Lubutu,Congo (Kinshasa),-0.7328894,26.583328,1313,5.132543563842773,18.477156829833984,3346297,17619,1956-01-12T12:00:00.000000000,-0.6678382754325867,26.61176490783692,Africa
Mossendjo,Congo (Brazzaville),-2.9396281,12.7199882,30936,5.131224632263184,18.472408676147463,3507311,23732,1958-02-14T15:00:00.000000000,-2.917398929595948,12.670957565307615,Africa
Popondetta,Papua New Guinea,-8.7691947,148.2484082,28198,5.125871658325195,18.453137969970705,3912750,10985,1953-10-05T06:00:00.000000000,-8.822495460510254,148.31752014160156,Oceania
Kohima,India,25.6669979,94.1165702,92113,5.125028133392334,18.450101280212404,1688205,32417,1961-02-04T06:00:00.000000000,25.69420051574707,94.11316680908205,Asia
Valera,Venezuela,9.3199595,-70.6200153,191167,5.1210618019104,18.43582248687744,2650960,20862,1957-02-20T21:00:00.000000000,9.384885787963867,289.3136291503906,South America
Bifoum,Gabon,-0.3329138,10.3832316,134,5.110404968261719,18.397457885742188,3325628,596,1950-03-16T15:00:00.000000000,-0.3866432309150696,10.414385795593262,Africa
Bello,Colombia,6.329987,-75.5699974,519670,5.108692169189453,18.39129180908203,2862181,19325,1956-08-12T18:00:00.000000000,6.22144079208374,284.5234069824219,South America
Makokou,Gabon,0.5670829,12.8665942,17070,5.097044467926025,18.349360084533693,3253943,9217,1953-02-26T06:00:00.000000000,0.5975395441055298,12.907523155212402,Africa
San Carlos del Zulia,Venezuela,9.0103919,-71.9199876,97288,5.089776992797852,18.323197174072263,2674020,13608,1954-08-29T03:00:00.000000000,9.033391952514648,288.0622863769531,South America
Moanda,Gabon,-1.5655001,13.2000105,30151,5.075564384460449,18.272031784057617,3407041,44268,1965-02-24T15:00:00.000000000,-1.5114234685897827,13.182897567749023,Africa
Ciudad Cortés,Costa Rica,8.9603691,-83.5300025,3850,5.07137393951416,18.25694618225097,2683129,597,1950-03-16T18:00:00.000000000,8.892794609069824,276.4507751464844,North America
Aboisso,Ivory Coast,5.4666991,-3.2000035,37654,5.030694961547852,18.110501861572267,2911201,13580,1954-08-25T15:00:00.000000000,5.518453121185303,356.7910461425781,Africa
Cajabamba,Peru,-7.6196008,-78.0400017,13486,5.014241218566895,18.05126838684082,3835100,55102,1968-11-09T21:00:00.000000000,-7.627416610717773,281.93878173828125,South America
Ramechhap,Nepal,27.3259981,86.0869985,15000,5.010979175567627,18.039525032043457,1601076,47289,1966-03-09T06:00:00.000000000,27.3813705444336,86.07820892333984,Asia
Guapi,Colombia,2.560398,-77.8599868,13853,4.909495830535889,17.6741849899292,3116385,17693,1956-01-21T18:00:00.000000000,2.5659050941467285,282.1875,South America
Artvin,Turkey,41.1830011,41.8179965,32272,4.902299880981445,17.648279571533205,973297,20494,1957-01-05T21:00:00.000000000,41.230228424072266,41.90544509887695,Asia
Barrancabermeja,Colombia,7.0899923,-73.849999,191403,4.877564430236816,17.55923194885254,2795602,16703,1955-09-20T00:00:00.000000000,7.205623626708984,286.1421203613281,South America
Huanta,Peru,-12.9496114,-74.2500004,18627,4.874545097351074,17.54836235046387,4181013,19998,1956-11-04T21:00:00.000000000,-12.970122337341309,285.7909240722656,South America
Mendi,Papua New Guinea,-6.1443937,143.6452266,26252,4.862462043762207,17.504863357543947,3733619,56992,1969-07-04T03:00:00.000000000,-6.151142120361328,143.6842041015625,Oceania
Puerto Berrío,Colombia,6.4804429,-74.4200159,33983,4.8420023918151855,17.431208610534668,2847858,13703,1954-09-10T00:00:00.000000000,6.432337284088135,285.6160888671875,South America
Buluko,Congo (Kinshasa),-0.7569989,28.5280025,1192,4.82790470123291,17.380456924438477,3351423,50083,1967-02-21T12:00:00.000000000,-0.7381370663642883,28.46938705444336,Africa
Manicoré,Brazil,-5.8121659,-61.2974836,21549,4.809274196624756,17.31338710784912,3711698,4346,1951-06-28T09:00:00.000000000,-5.799648284912109,298.7520751953125,South America
Urubamba,Peru,-13.3042151,-72.1166165,7540,4.803035736083984,17.290928649902344,4202982,28030,1959-08-05T21:00:00.000000000,-13.321616172790527,287.8356018066406,South America
Franceville,Gabon,-1.6332995,13.5832946,42967,4.788377285003662,17.238158226013184,3417147,15027,1955-02-22T12:00:00.000000000,-1.652021050453186,13.632038116455078,Africa
Wangdue Prodrang,Bhutan,27.433296,89.9166967,5000,4.781829357147217,17.214585685729983,1597537,12074,1954-02-18T09:00:00.000000000,27.451669692993164,89.89933013916016,Asia
Padangpanjang,Indonesia,-0.4495992,100.4166508,44096,4.745372295379639,17.0833402633667,3326907,865,1950-04-19T06:00:00.000000000,-0.3866432309150696,100.41438293457033,Asia
Peshkopi,Albania,41.6833021,20.4333035,14848,4.741011142730713,17.067640113830567,953697,30682,1960-07-02T09:00:00.000000000,41.72232055664063,20.448625564575195,Europe
Mitú,Colombia,1.1983106,-70.1736084,5917,4.739934921264648,17.063765716552734,3217155,35740,1962-03-26T15:00:00.000000000,1.159929633140564,289.8028259277344,South America
Cartago,Colombia,4.7499801,-75.9100283,134827,4.737150192260742,17.05374069213867,2958679,22374,1957-08-28T21:00:00.000000000,4.815465450286865,284.1365051269531,South America
Bucaramanga,Colombia,7.1320391,-73.1278289,1009000,4.736302375793457,17.050688552856446,2790886,55611,1969-01-12T12:00:00.000000000,7.275922298431396,286.9940795898437,South America
Huánuco,Peru,-9.9200289,-76.2400082,158145,4.687776565551758,16.875995635986328,3992707,51685,1967-09-09T18:00:00.000000000,-10.017574310302734,283.63397216796875,South America
