city_name,country,city_lat,city_lon,population,max_wind_raw_ctrl,max_wind_ctrl,cell_idx_ctrl,time_idx_ctrl,timestamp_ctrl,lat_ctrl,lon_ctrl,max_wind_raw_ssp,max_wind_ssp,cell_idx_ssp,time_idx_ssp,timestamp_ssp,lat_ssp,lon_ssp,wind_diff,continent
Port Lavaca,United States of America,28.6160169,-96.6296938,11743,14.48971176147461,52.16296234130859,1539030,8551,1952-12-05T00:00:00.000000000,28.646747589111328,263.3295288085937,26.254148483276367,94.51493453979492,1542542,34182,2091-09-12T21:00:00.000000000,28.57644844055176,263.43963623046875,42.35197219848633,North America
Huangyan,China,28.65002,121.2500044,198713,14.677254676818848,52.838116836547854,1541156,54456,1968-08-21T03:00:00.000000000,28.57644844055176,121.3667449951172,26.08523941040039,93.9068618774414,1541156,19307,2086-08-10T12:00:00.000000000,28.57644844055176,121.3667449951172,41.068745040893546,Asia
Batticaloa,Sri Lanka,7.7170083,81.7000154,129222,15.398608207702637,55.43498954772949,2764629,58333,1969-12-18T18:00:00.000000000,7.627416610717773,81.81122589111328,26.78631401062012,96.43073043823244,2755231,14199,2084-11-10T00:00:00.000000000,7.768013954162598,81.79727172851562,40.99574089050296,Asia
Eldorado,Mexico,24.3304645,-107.3699943,17365,24.32264709472656,87.56152954101563,1764159,31370,1960-09-26T09:00:00.000000000,24.288225173950195,252.555908203125,35.42169570922852,127.51810455322266,1764159,8266,2082-10-30T09:00:00.000000000,24.288225173950195,252.555908203125,39.95657501220703,North America
Bhavnagar,India,21.7784239,72.1299536,554978,16.641788482666016,59.910438537597656,1892251,7201,1952-06-19T06:00:00.000000000,21.8980655670166,72.05549621582031,27.376651763916016,98.55594635009766,1896146,9959,2083-05-30T00:00:00.000000000,21.827768325805664,72.25872802734375,38.6455078125,Asia
Edinburg,United States of America,26.3031865,-98.1599622,150000,16.149276733398438,58.13739624023437,1664277,10782,1953-09-09T21:00:00.000000000,26.1862907409668,261.8092041015625,26.724998474121094,96.20999450683594,1664276,25462,2088-09-17T21:00:00.000000000,26.1862907409668,261.7105407714844,38.07259826660157,North America
Silvassa,India,20.2665782,73.0166178,27359,10.457663536071776,37.6475887298584,1986793,7197,1952-06-18T18:00:00.000000000,20.21089553833008,73.02909088134766,20.97220039367676,75.49992141723634,1982808,9959,2083-05-30T00:00:00.000000000,20.28119468688965,73.01204681396484,37.85233268737794,Asia
Ninde,China,26.6803727,119.5300577,314077,12.239184379577637,44.06106376647949,1633786,10732,1953-09-03T15:00:00.000000000,26.748682022094727,119.66814422607422,22.6414852142334,81.50934677124023,1633786,34216,2091-09-17T03:00:00.000000000,26.748682022094727,119.66814422607422,37.44828300476074,Asia
McAllen,United States of America,26.2030375,-98.2297254,364004,16.778596878051758,60.40294876098633,1667927,10782,1953-09-09T21:00:00.000000000,26.115991592407227,261.7196044921875,27.00185775756836,97.2066879272461,1667927,25462,2088-09-17T21:00:00.000000000,26.115991592407227,261.7196044921875,36.80373916625977,North America
Karachi,Pakistan,24.8719381,66.9880631,12130000,18.698076248168945,67.31307449340821,1743495,36595,1962-07-11T12:00:00.000000000,24.63971900939941,66.58457946777344,28.42959976196289,102.3465591430664,1724875,25824,2088-11-02T03:00:00.000000000,24.99121284484864,66.94294738769531,35.03348464965819,Asia
Portsmouth,United Kingdom,50.8003475,-1.0800222,442252,27.99222755432129,100.77201919555664,635018,52414,1967-12-09T21:00:00.000000000,50.72056198120117,359.0408630371094,37.65354537963867,135.55276336669922,635018,32266,2091-01-16T09:00:00.000000000,50.72056198120117,359.0408630371094,34.78074417114259,Europe
Tirunelveli,India,8.730409,77.689976,542200,10.976319313049316,39.51474952697754,2694483,2548,1950-11-15T15:00:00.000000000,8.68189811706543,77.75193786621094,20.34252166748047,73.23307800292969,2699128,2812,2080-12-17T15:00:00.000000000,8.61159896850586,77.76248168945312,33.71832847595215,Asia
Dhule,India,20.8999762,74.7699991,479073,9.779513359069824,35.20624809265137,1955046,4498,1951-07-17T09:00:00.000000000,20.773286819458008,74.8028335571289,19.086244583129883,68.71048049926758,1951092,9961,2083-05-30T06:00:00.000000000,20.843584060668945,74.69635772705078,33.504232406616204,Asia
Jeju,South Korea,33.5101367,126.5219307,408364,31.1278018951416,112.06008682250976,1308440,25568,1958-10-02T03:00:00.000000000,33.42706298828125,126.37824249267578,40.40748977661133,145.4669631958008,1298753,19544,2086-09-09T03:00:00.000000000,33.637962341308594,126.5136489868164,33.40687637329103,Asia
Laoag,Philippines,18.1988491,120.5936104,207048,23.75822257995605,85.5296012878418,2096435,16803,1955-10-02T12:00:00.000000000,18.31282997131348,120.498046875,32.791015625,118.04765625,2096435,2441,2080-11-01T06:00:00.000000000,18.31282997131348,120.498046875,32.5180549621582,Asia
Mumbai,India,19.06840847529168,72.8758393972653,18978000,21.976428985595703,79.11514434814454,2026857,7192,1952-06-18T03:00:00.000000000,19.50790786743164,72.66136932373047,30.987342834472656,111.55443420410155,2026857,9958,2083-05-29T21:00:00.000000000,19.50790786743164,72.66136932373047,32.439289855957014,Asia
Victoria,United States of America,28.8049976,-97.0033403,64209,14.62426471710205,52.64735298156739,1528518,41761,1964-04-17T06:00:00.000000000,28.85764503479004,262.9977111816406,23.56649208068848,84.83937149047851,1532017,34183,2091-09-13T00:00:00.000000000,28.78734588623047,263.0057067871094,32.192018508911126,North America
Brighton,United Kingdom,50.8303457,-0.1699744,503008,25.823373794555664,92.9641456604004,635022,6242,1952-02-20T09:00:00.000000000,50.72056198120117,359.6802978515625,34.64466857910156,124.72080688476562,635022,32266,2091-01-16T09:00:00.000000000,50.72056198120117,359.6802978515625,31.756661224365217,Europe
Bowen,Australia,-20.0013257,148.208669,10983,24.636341094970703,88.69082794189454,4595364,9138,1953-02-16T09:00:00.000000000,-19.92970085144043,148.1718292236328,33.3745002746582,120.14820098876952,4595365,14708,2085-01-12T15:00:00.000000000,-19.92970085144043,148.26173400878906,31.457373046874977,Oceania
