city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Quilpie,Australia,-26.6166325,144.2500476,560,14.922884941101074,53.722385787963866,4961310,20336,2086-12-17T03:00:00.000000000,-26.67838287353516,144.1988983154297,Oceania
Balyqshy,Kazakhstan,47.0665961,51.8665909,31624,14.916218757629396,53.69838752746582,753078,795,2080-04-09T12:00:00.000000000,47.13532257080078,51.889251708984375,Asia
Malayer,Iran,34.3199839,48.8499792,176573,14.915623664855955,53.696245193481445,1262852,35954,2092-04-21T09:00:00.000000000,34.41124725341797,48.90565872192383,Asia
Lázaro Cárdenas,Mexico,17.9587087,-102.199974,160087,14.910076141357422,53.67627410888672,2122652,31635,2090-10-29T12:00:00.000000000,17.891036987304688,257.9417419433594,North America
Philadelphia,United States of America,39.94594243742075,-75.1798412402816,5492000,14.908408164978027,53.6702693939209,1026108,32296,2091-01-20T03:00:00.000000000,39.96485137939453,285.08380126953125,North America
Vanimo,Papua New Guinea,-2.6900009,141.3039966,11204,14.907535552978516,53.667127990722655,3489166,14618,2085-01-01T09:00:00.000000000,-2.6362037658691406,141.31515502929688,Oceania
Belleville,United States of America,38.5251536,-90.0002277,143900,14.903802871704102,53.653690338134766,1081144,20158,2086-11-24T21:00:00.000000000,38.629173278808594,269.8775634765625,North America
Indramayu,Indonesia,-6.3356482,108.3190108,123263,14.902172088623049,53.64781951904297,3737935,37937,2092-12-25T06:00:00.000000000,-6.22144079208374,108.28594970703124,Asia
Salina,United States of America,38.8246702,-97.6071794,48031,14.901466369628906,53.64527893066406,1072278,12775,2084-05-16T00:00:00.000000000,38.84006881713867,262.3770446777344,North America
São Luís,Brazil,-2.5140388,-44.2679367,1038000,14.90088176727295,53.64317436218262,3471605,22689,2087-10-07T06:00:00.000000000,-2.355008840560913,315.7554016113281,South America
Melton,Australia,-37.6895483,144.570028,32368,14.89296817779541,53.61468544006348,5480417,32968,2091-04-14T03:00:00.000000000,-37.71529006958008,144.50534057617188,Oceania
Welkom,South Africa,-27.9699866,26.7299857,431944,14.88906192779541,53.60062294006348,5024671,28870,2089-11-17T21:00:00.000000000,-27.94375991821289,26.68545722961425,Africa
Ad Diwaniyah,Iraq,31.9889376,44.9239656,358408,14.88587474822998,53.58914909362793,1376513,693,2080-03-27T18:00:00.000000000,31.95079040527344,44.78313064575195,Asia
Colesberg,South Africa,-30.7195345,25.1000077,12423,14.885519981384276,53.5878719329834,5160053,1130,2080-05-21T09:00:00.000000000,-30.68541145324707,25.153301239013672,Africa
Gujrat,Pakistan,32.5799868,74.0800154,301506,14.883750915527344,53.58150329589844,1343796,12769,2084-05-15T06:00:00.000000000,32.653778076171875,74.19512176513672,Asia
Karnal,India,29.680448,76.9699682,225049,14.883252143859863,53.57970771789551,1491962,21948,2087-07-06T15:00:00.000000000,29.56063270568848,76.875,Asia
Dyatkovo,Russia,53.5891437,34.3391853,33527,14.879667282104492,53.566802215576175,546172,19945,2086-10-29T06:00:00.000000000,53.53251266479492,34.41682434082031,Europe
Lokhwabe,Botswana,-24.1695984,21.8300264,1473,14.878681182861328,53.56325225830079,4827105,19794,2086-10-10T09:00:00.000000000,-24.14762687683105,21.902231216430664,Africa
Arecibo,Puerto Rico,18.440023,-66.7299943,69307,14.87623119354248,53.55443229675293,2090215,25401,2088-09-10T06:00:00.000000000,18.453426361083984,293.33660888671875,North America
Ft.  Worth,United States of America,32.739977,-97.3400381,1440454,14.873720169067385,53.54539260864258,1342235,24174,2088-04-09T21:00:00.000000000,32.72407531738281,262.74725341796875,North America
Novokuznetsk,Russia,53.7500124,87.1149821,539616,14.87202262878418,53.53928146362305,542304,504,2080-03-04T03:00:00.000000000,53.67311096191406,87.06333923339844,Europe
Sagaing,Myanmar,21.879999,95.9619966,78739,14.870171546936035,53.53261756896973,1896402,36110,2092-05-10T21:00:00.000000000,21.827768325805664,95.91375732421876,Asia
Venado Tuerto,Argentina,-33.7495821,-61.9700007,72340,14.86908721923828,53.52871398925782,5307942,33178,2091-05-10T09:00:00.000000000,-33.77855682373047,297.9850769042969,South America
Bolama,Guinea Bissau,11.582953,-15.482804,10769,14.869070053100586,53.52865219116211,2510807,7620,2082-08-10T15:00:00.000000000,11.564146995544434,344.4910583496094,Africa
Ironwood,United States of America,46.4558065,-90.1593911,7064,14.868349075317385,53.52605667114258,779335,34649,2091-11-10T06:00:00.000000000,46.43233489990234,269.85577392578125,North America
Tver,Russia,56.8599776,35.8899951,400212,14.867281913757324,53.52221488952637,452351,33107,2091-05-01T12:00:00.000000000,56.83655548095703,36.11344528198242,Europe
La Sarre,Canada,48.8000045,-79.2000342,7206,14.8661527633667,53.51814994812012,699184,20164,2086-11-25T15:00:00.000000000,48.752197265625,280.81219482421875,North America
Duque de Caxias,Brazil,-22.796378408911043,-43.30560241118898,842890,14.86455249786377,53.512388992309575,4761816,28202,2089-08-26T09:00:00.000000000,-22.88224983215332,316.8300170898437,South America
Jinzhou,China,41.1223158,121.0980936,956000,14.863799095153809,53.50967674255372,982304,7823,2082-09-05T00:00:00.000000000,41.01933288574219,121.1982879638672,Asia
Port Arthur,United States of America,29.8989876,-93.9285926,56945,14.86367416381836,53.5092269897461,1479983,20795,2087-02-12T12:00:00.000000000,29.841827392578125,266.1278991699219,North America
Songkhla,Thailand,7.2099591,100.5600012,48616,14.862281799316406,53.504214477539065,2788440,5687,2081-12-12T00:00:00.000000000,7.275922298431396,100.59272003173828,Asia
Huanghua,China,38.3704344,117.330037,120000,14.861881256103516,53.50277252197266,1094645,33751,2091-07-21T00:00:00.000000000,38.277679443359375,117.3648681640625,Asia
Medan,Indonesia,3.5819198,98.6480944,2115000,14.859378814697266,53.49376373291016,3029572,37861,2092-12-15T18:00:00.000000000,3.760984182357788,98.84646606445312,Asia
Monywa,Myanmar,22.1049931,95.1499955,226222,14.856651306152344,53.48394470214844,1884725,36110,2092-05-10T21:00:00.000000000,22.038663864135746,95.0051498413086,Asia
Ar Raqqah,Syria,35.9303766,39.0199849,177636,14.854960441589355,53.47785758972168,1190720,35619,2092-03-10T12:00:00.000000000,36.02811813354492,39.17098617553711,Asia
Ryazan,Russia,54.6199593,39.7199939,520173,14.849885940551758,53.45958938598633,515295,21425,2087-05-02T06:00:00.000000000,54.58699417114258,39.50787353515625,Europe
